epoch,train_loss,val_dice
1,1.7500390010337308,0.2676494200600813
2,1.410441325135427,0.31208708912248484
3,1.2004214721183255,0.3714698274452296
4,1.1166868699740058,0.4047210364570068
5,1.0758723257339164,0.4116361705117629
6,1.001223720099828,0.42083423532919534
7,0.9616961601662309,0.4339711176712504
8,0.9136703806380703,0.4391294422077673
9,0.868113008263993,0.44979881191652954
10,0.8509082728869295,0.4575665846680971
11,0.8143457868327834,0.45688918664484124
12,0.802094189271535,0.475079206927716
13,0.7841173802336602,0.4695891549600935
14,0.7450684774411868,0.4681622011326626
15,0.71538994981818,0.45964624497092876
16,0.7165423476532714,0.4748070970494685
17,0.6981235460875785,0.49332910553038883
18,0.6841207175222161,0.49295305356108676
19,0.674510025406537,0.49838415876763137
20,0.6643592507055361,0.5064464738991411
21,0.655850297784152,0.49572246751133425
22,0.645462741182275,0.5006912255310905
23,0.6419745226428933,0.4947894362435662
24,0.6241731088455409,0.4953591245690051
25,0.6270991143298476,0.514878528721378
26,0.602230289211012,0.5106612444600418
27,0.6211205251412849,0.48147825087265794
28,0.5955349676413079,0.5107254753168289
29,0.5976776713377809,0.4921234916736192
30,0.5678077972915074,0.5097369330300027
31,0.5676568244418053,0.5081094059457298
32,0.5476510132828804,0.5117061760336602
33,0.5578504804879019,0.5130449400507463
34,0.5322140904322062,0.5132740276694557
35,0.5219505955911663,0.5081426405542359
36,0.5406216681003571,0.5265951699534497
37,0.533159316810843,0.5157441717678589
38,0.5419440396028022,0.5097865303843481
39,0.5291001233336043,0.5191514313549399
40,0.5260260762417153,0.5212394314538058
41,0.504795058949353,0.517781284095077
42,0.4992882601202351,0.5427411953943395
43,0.5025298828131533,0.528073585792978
44,0.510116404050017,0.5280305262110925
45,0.4998445792557442,0.5310263283754278
46,0.4950436761934463,0.5367235143196077
47,0.49407586087919264,0.5238870271613272
48,0.4992563553052406,0.5247531051869534
49,0.4902024305846593,0.5448307256630686
50,0.4796811979110927,0.5471076268438749
51,0.4855689234929542,0.5386086815597035
52,0.47325094146271274,0.5472140824824712
53,0.4804849387848214,0.537479098849244
54,0.46758934732985824,0.5435430436676634
55,0.4652311201781443,0.5335561493735286
56,0.457045463666524,0.5421711565504012
57,0.45842936471717,0.5463790105528774
58,0.46839581327895596,0.539172100395856
59,0.46283785815108314,0.5679551666642798
60,0.44072983648679026,0.5675016120952666
61,0.47219799724343703,0.5521535259161198
62,0.45247355756694324,0.562170265260811
63,0.45378396731533416,0.5591718613652831
64,0.45756260295436807,0.5705726305142697
65,0.45536810772059716,0.5709550097058872
66,0.46149920110833154,0.5647880204755594
67,0.45947975940900304,0.5464574249809342
68,0.4321295157687305,0.5609250218395334
69,0.45436044425180516,0.5536595191190767
70,0.43464855135303654,0.5693094996839245
71,0.4351763072079175,0.5621357297641599
72,0.42709160994177,0.5593283518156147
73,0.4400756677536115,0.5663973675469031
74,0.4171965963219943,0.5825617720718774
75,0.43492615876132495,0.5743267575605389
76,0.43094204917345963,0.5696053943545876
77,0.4264064655728536,0.5733951125789147
78,0.4343925061291211,0.5677255675379447
79,0.44410171329158626,0.5735557089353573
80,0.4271587566153644,0.5816173172006598
81,0.41605577648502506,0.5717240162129538
82,0.42170545907869733,0.572108252563105
83,0.42382710192301504,0.565927919006324
84,0.42203883479719295,0.5680038262821765
85,0.4156838851432278,0.5677948105883682
86,0.4196794412723959,0.5638886709601505
87,0.41169279895416677,0.579954388407955
88,0.4322556628756327,0.5716455097998623
89,0.4166763343223154,0.5729904739584368
90,0.4153391927072447,0.5786431425417674
91,0.41528072912399083,0.5672540023510224
92,0.4050299982502036,0.5760429042925499
93,0.4177615650712627,0.5599944320111956
94,0.4187548519813851,0.5720971560747238
95,0.4126691724339577,0.5703153282700342
96,0.4194635997896325,0.5663523688193262
97,0.40689200448663265,0.5742470006654884
98,0.4044316166067777,0.5761337962092656
99,0.41087324366177597,0.5769676544267999
100,0.40703612443518966,0.57770830173731
101,0.40951933885273867,0.56877496583265
102,0.4149211571641164,0.5758749403598973
103,0.4025686791498367,0.5784194892475518
104,0.39718888638770744,0.5841347457278587
105,0.4060977627969768,0.5838243544191309
106,0.3952218049193082,0.5870152488419788
107,0.4013011561681146,0.5860875043023182
108,0.40409206894979083,0.5858032125765036
109,0.38907788346891536,0.5878711165622068
110,0.3933848897888236,0.5852007114516774
111,0.39698754189765617,0.582279675702756
112,0.3993686723382506,0.5758424300449166
113,0.39654030048683897,0.5706823204360553
114,0.393778434354965,0.5796824013721438
115,0.39677742899280705,0.5799239387179419
116,0.3899253096482525,0.5836589069986966
117,0.4007660101537835,0.5835670633459343
118,0.4011986929259888,0.5873558516384153
119,0.39183242108723887,0.5886056028180106
120,0.39669727830037677,0.589216646282765
121,0.40272128908601523,0.5826713273917811
122,0.3952498142033407,0.5851411806198348
123,0.40518995221347026,0.5855542039107638
124,0.40046493933625416,0.5844059319438322
125,0.40048617655283786,0.5869063499514428
126,0.39542745645732097,0.5886602134154952
127,0.39692273899300456,0.5839716845368137
128,0.3932108687211389,0.5906778550862437
129,0.39066378343595215,0.5868199533133062
130,0.39285519025097154,0.5876659508853914
131,0.39289043292607345,0.5871063680379793
132,0.38586344294352076,0.5897672664906147
133,0.38781023066337794,0.5890868325527318
134,0.4013896057867024,0.5883159648128193
135,0.394043457018186,0.5915160423050009
136,0.38883636463178345,0.5905696736470609
137,0.3963142592613011,0.5920056246862024
138,0.37838258237054906,0.589166802333256
139,0.39454699338298954,0.586504164644365
140,0.3942805683776124,0.5879645625156236
141,0.3970316766876064,0.5863227704471724
142,0.4003795177152712,0.5848875699645422
143,0.38787923161297627,0.5854699644534292
144,0.3866177017558111,0.588334891990184
145,0.39444997580084085,0.5900980702223736
146,0.39485809166137487,0.5906111072266308
147,0.3968899960387243,0.5852483060033625
148,0.3918763374629086,0.5877463707953279
149,0.3826507276868167,0.5890369697601596
150,0.3968082988915378,0.5917602546007115
